id;fecha_inicio;fecha_fin;hora;estado;pelicula_id;sala_id
1;2020-10-08;2020-10-08;2020-10-08T01:24:15;true;1;1
2;2020-10-08;2020-10-08;2020-10-08T15:25:53;false;2;2
3;2020-10-08;2020-10-08;2020-10-08T12:59:33;false;3;3
4;2020-10-08;2020-10-08;2020-10-08T11:42:55;false;4;4
5;2020-10-08;2020-10-08;2020-10-08T02:17:43;true;5;5
6;2020-10-08;2020-10-08;2020-10-08T09:15:11;true;6;6
7;2020-10-08;2020-10-07;2020-10-08T10:52:53;false;7;7
8;2020-10-07;2020-10-08;2020-10-08T02:36:35;true;8;8
9;2020-10-08;2020-10-08;2020-10-07T18:32:08;true;9;9
10;2020-10-08;2020-10-08;2020-10-08T15:36:12;true;10;10
